n,max_flow,electrical_alg,ratio
748,39.43056482,5.806168258,0.147250446
2410,33.1181248,6.907495791,0.208571464
575,30.55202493,7.307283785,0.239175106
88,28.74969176,7.076699513,0.246148709
165,36.44752863,11.85367532,0.325225763
995,21.34822086,7.777362433,0.36430963
228,12.4445835,6.192443572,0.497601512
255,18.55105139,9.236601157,0.497901761
2035,14.750653,7.890464215,0.534923045
297,21.9920563,14.19489811,0.6454557
2689,10.42588208,6.866648409,0.658615584
3769,11.8344765,8.252412401,0.697319599
624,11.0349803,7.722672438,0.699835634
890,9.425485466,7.828054912,0.830520077
16,14.61938074,12.15134703,0.831180694
1750,10.22926811,8.820441355,0.862274921
288,10.74918135,9.484142778,0.882313031
441,8.431902674,7.610820944,0.90262201
3985,8.475874228,7.955241794,0.938574781
2232,7.864216163,7.485776936,0.951878328
2792,7.1797876,6.848971713,0.953924001
3260,6.990950945,6.751976642,0.965816624
1158,8.432025447,8.201174981,0.972622181
326,9.440863561,9.184100715,0.972803034
982,10.98059543,10.68559499,0.973134386
528,8.638143244,8.434597804,0.976436436
3696,8.08536716,7.930715814,0.980872687
3335,6.999623575,6.880444291,0.982973472
931,9.973934708,9.875537343,0.990134549
6,5.390438543,5.390438543,1
6,5.390438543,5.390438543,1
9,5.253583041,5.253583041,1
10,7.194411341,7.194411341,1
10,11.40071701,11.40071701,1
11,7.211934743,7.211934743,1
11,7.710381788,7.710381788,1
12,7.234193717,7.234193717,1
13,6.820153379,6.820153379,1
13,6.36895117,6.36895117,1
13,5.351158774,5.351158774,1
13,17.55646848,17.55646848,1
14,6.530043798,6.530043798,1
14,4.066864975,4.066864975,1
14,9.484712752,9.484712752,1
14,12.69769718,12.69769718,1
15,9.51928162,9.51928162,1
15,8.313736425,8.313736425,1
15,10.82915946,10.82915946,1
15,4.337239295,4.337239295,1
15,7.571775463,7.571775463,1
15,5.517466986,5.517466986,1
16,8.431072984,8.431072984,1
16,8.24938746,8.24938746,1
16,7.65466512,7.65466512,1
17,6.864304084,6.864304084,1
17,4.994560547,4.994560547,1
17,7.650944784,7.650944784,1
17,6.750350565,6.750350565,1
17,17.58314088,17.58314088,1
17,9.959338347,9.959338347,1
17,9.390685716,9.390685716,1
17,5.011774836,5.011774836,1
18,6.022040811,6.022040811,1
18,11.74043982,11.74043982,1
19,10.66358368,10.66358368,1
19,8.292178714,8.292178714,1
19,5.968408438,5.968408438,1
19,10.28977245,10.28977245,1
20,10.27036391,10.27036391,1
20,10.02756152,10.02756152,1
21,6.671019227,6.671019227,1
21,7.756107867,7.756107867,1
21,3.223746672,3.223746672,1
21,5.215531084,5.215531084,1
21,9.993630461,9.993630461,1
22,3.596339954,3.596339954,1
22,8.881860166,8.881860166,1
22,4.936607797,4.936607797,1
22,5.337033974,5.337033974,1
22,13.21150784,13.21150784,1
22,6.044469079,6.044469079,1
22,7.133487783,7.133487783,1
22,7.210443829,7.210443829,1
23,5.312264388,5.312264388,1
23,6.399106163,6.399106163,1
23,6.950883966,6.950883966,1
23,7.926019193,7.926019193,1
23,11.15300035,11.15300035,1
23,11.33531763,11.33531763,1
23,5.591417829,5.591417829,1
24,9.962471829,9.962471829,1
24,4.97890804,4.97890804,1
24,8.97659621,8.97659621,1
25,5.100217784,5.100217784,1
25,3.627571301,3.627571301,1
25,15.68525275,15.68525275,1
25,4.97756508,4.97756508,1
26,6.814066249,6.814066249,1
26,7.641790784,7.641790784,1
26,8.965670341,8.965670341,1
26,8.453752443,8.453752443,1
28,5.618053011,5.618053011,1
28,11.78815897,11.78815897,1
29,3.739462445,3.739462445,1
29,6.807281243,6.807281243,1
29,10.07957098,10.07957098,1
29,10.31141734,10.31141734,1
30,6.434755549,6.434755549,1
31,8.413759518,8.413759518,1
31,7.533066834,7.533066834,1
31,8.413759518,8.413759518,1
32,9.010144419,9.010144419,1
32,8.801654233,8.801654233,1
32,8.253567315,8.253567315,1
32,10.94497117,10.94497117,1
33,8.309876809,8.309876809,1
33,10.95522218,10.95522218,1
33,7.08078664,7.08078664,1
33,5.350795654,5.350795654,1
33,11.10140091,11.10140091,1
33,5.576126346,5.576126346,1
34,8.757827555,8.757827555,1
34,7.539060291,7.539060291,1
34,6.998827425,6.998827425,1
34,6.585181506,6.585181506,1
35,10.1062086,10.1062086,1
35,10.67147676,10.67147676,1
35,8.808401917,8.808401917,1
35,7.741372668,7.741372668,1
35,11.32497104,11.32497104,1
35,5.636042068,5.636042068,1
36,9.740665284,9.740665284,1
36,7.450599857,7.450599857,1
36,6.424011017,6.424011017,1
37,8.08600694,8.08600694,1
37,9.160284938,9.160284938,1
37,9.940148053,9.940148053,1
37,3.883082904,3.883082904,1
38,8.940902705,8.940902705,1
38,5.729929593,5.729929593,1
38,7.484944788,7.484944788,1
38,7.203444863,7.203444863,1
38,9.294386014,9.294386014,1
38,6.080842994,6.080842994,1
38,6.630077817,6.630077817,1
39,8.477572584,8.477572584,1
39,14.29460879,14.29460879,1
40,6.009481365,6.009481365,1
40,8.902599389,8.902599389,1
40,5.334447021,5.334447021,1
40,9.427041521,9.427041521,1
40,6.018695681,6.018695681,1
40,8.266198932,8.266198932,1
41,12.6225694,12.6225694,1
41,5.707397426,5.707397426,1
41,4.970570604,4.970570604,1
41,12.6225694,12.6225694,1
42,8.745681597,8.745681597,1
42,7.766391492,7.766391492,1
42,7.583962112,7.583962112,1
42,8.904910199,8.904910199,1
43,8.110373795,8.110373795,1
43,7.462193424,7.462193424,1
43,6.955711445,6.955711445,1
43,6.088572734,6.088572734,1
43,6.318105665,6.318105665,1
43,6.117504031,6.117504031,1
44,6.915797932,6.915797932,1
44,4.775294694,4.775294694,1
45,6.139880717,6.139880717,1
45,11.18732955,11.18732955,1
46,6.366982581,6.366982581,1
46,17.77559311,17.77559311,1
46,13.38770101,13.38770101,1
46,4.094002868,4.094002868,1
47,10.3119671,10.3119671,1
47,11.29325374,11.29325374,1
47,9.787599809,9.787599809,1
48,10.05435183,10.05435183,1
49,5.484353714,5.484353714,1
49,8.601912093,8.601912093,1
49,6.248514377,6.248514377,1
51,7.957828944,7.957828944,1
51,8.45764172,8.45764172,1
51,6.422967604,6.422967604,1
52,7.040630949,7.040630949,1
52,6.887857323,6.887857323,1
52,6.373927738,6.373927738,1
52,7.022212389,7.022212389,1
52,6.295057626,6.295057626,1
53,4.942122982,4.942122982,1
53,7.095480651,7.095480651,1
53,5.40567183,5.40567183,1
53,7.971611242,7.971611242,1
54,6.092307739,6.092307739,1
54,6.987950179,6.987950179,1
54,10.11448071,10.11448071,1
54,7.203780256,7.203780256,1
55,4.124551623,4.124551623,1
55,9.30408517,9.30408517,1
55,7.098273606,7.098273606,1
55,7.007582664,7.007582664,1
55,5.109473974,5.109473974,1
56,7.082736561,7.082736561,1
56,4.460609347,4.460609347,1
56,13.87612982,13.87612982,1
56,8.348319102,8.348319102,1
57,13.67238362,13.67238362,1
57,10.0552146,10.0552146,1
58,6.519907507,6.519907507,1
58,5.131321685,5.131321685,1
58,6.862498614,6.862498614,1
59,12.00457145,12.00457145,1
59,8.158007368,8.158007368,1
59,29.74000484,29.74000484,1
59,7.937198853,7.937198853,1
59,7.991569703,7.991569703,1
60,14.66837753,14.66837753,1
60,6.962321726,6.962321726,1
60,6.810065529,6.810065529,1
61,8.543091718,8.543091718,1
61,5.493417854,5.493417854,1
61,11.95527201,11.95527201,1
61,18.21845764,18.21845764,1
61,5.888236326,5.888236326,1
61,9.807350807,9.807350807,1
62,5.891278827,5.891278827,1
62,6.417320297,6.417320297,1
62,6.16684686,6.16684686,1
62,7.461179147,7.461179147,1
62,7.416344242,7.416344242,1
62,5.672304465,5.672304465,1
62,9.290298443,9.290298443,1
62,5.616874609,5.616874609,1
63,6.882276566,6.882276566,1
63,7.699202435,7.699202435,1
63,4.892358185,4.892358185,1
64,9.303492983,9.303492983,1
64,4.618885004,4.618885004,1
65,9.545949719,9.545949719,1
65,6.445041002,6.445041002,1
65,5.956673047,5.956673047,1
66,5.788476479,5.788476479,1
66,11.17255921,11.17255921,1
66,6.406274826,6.406274826,1
67,10.64849139,10.64849139,1
67,10.29990405,10.29990405,1
67,8.99497587,8.99497587,1
68,11.18170846,11.18170846,1
68,4.805438192,4.805438192,1
68,6.938817408,6.938817408,1
68,8.239825151,8.239825151,1
69,5.642779804,5.642779804,1
69,12.26095925,12.26095925,1
69,8.433811182,8.433811182,1
70,4.471299552,4.471299552,1
70,8.183509889,8.183509889,1
70,6.939694089,6.939694089,1
70,7.527403465,7.527403465,1
71,7.180776443,7.180776443,1
71,8.852666391,8.852666391,1
72,9.079306662,9.079306662,1
73,6.522726375,6.522726375,1
74,7.409470946,7.409470946,1
74,6.689018143,6.689018143,1
75,5.070493495,5.070493495,1
75,5.624747946,5.624747946,1
75,6.730935814,6.730935814,1
75,6.763082814,6.763082814,1
75,10.40133097,10.40133097,1
76,8.705512969,8.705512969,1
76,7.87038447,7.87038447,1
77,5.615817235,5.615817235,1
77,6.127700301,6.127700301,1
77,6.426767304,6.426767304,1
77,9.00729517,9.00729517,1
77,7.862925609,7.862925609,1
78,3.771494043,3.771494043,1
78,7.796390885,7.796390885,1
78,2.459378739,2.459378739,1
78,4.148668216,4.148668216,1
79,6.721320121,6.721320121,1
79,4.755525725,4.755525725,1
79,6.32960607,6.32960607,1
79,9.698387063,9.698387063,1
79,7.318748511,7.318748511,1
80,6.096425274,6.096425274,1
80,5.935665611,5.935665611,1
80,7.363921252,7.363921252,1
81,6.665661576,6.665661576,1
81,13.69325197,13.69325197,1
81,5.62818231,5.62818231,1
81,5.179142753,5.179142753,1
82,11.29219075,11.29219075,1
82,6.701644383,6.701644383,1
82,7.989173208,7.989173208,1
82,3.288361257,3.288361257,1
83,11.20741351,11.20741351,1
83,7.976974087,7.976974087,1
83,10.87054599,10.87054599,1
83,8.488110221,8.488110221,1
84,4.951339105,4.951339105,1
84,8.206027592,8.206027592,1
84,8.222849697,8.222849697,1
84,7.983172162,7.983172162,1
85,7.306402819,7.306402819,1
86,15.43417145,15.43417145,1
86,7.229336596,7.229336596,1
86,8.410879579,8.410879579,1
87,7.256143908,7.256143908,1
87,9.068150711,9.068150711,1
87,5.124034005,5.124034005,1
87,5.255055771,5.255055771,1
87,6.697713941,6.697713941,1
88,5.638153334,5.638153334,1
88,7.687281449,7.687281449,1
88,9.984734685,9.984734685,1
88,7.205036755,7.205036755,1
88,4.047596976,4.047596976,1
89,7.440438927,7.440438927,1
89,7.61211313,7.61211313,1
89,5.55396837,5.55396837,1
91,4.488208594,4.488208594,1
91,6.603827723,6.603827723,1
92,6.804409209,6.804409209,1
92,8.469319328,8.469319328,1
92,4.098206559,4.098206559,1
92,5.802982275,5.802982275,1
92,7.240220246,7.240220246,1
93,8.775599672,8.775599672,1
93,5.12828912,5.12828912,1
93,8.602485913,8.602485913,1
94,7.175866305,7.175866305,1
94,5.509398787,5.509398787,1
95,6.811063673,6.811063673,1
95,10.24803231,10.24803231,1
95,6.952488921,6.952488921,1
95,6.718077621,6.718077621,1
95,7.451858251,7.451858251,1
96,5.756673858,5.756673858,1
96,6.732750351,6.732750351,1
96,6.056075078,6.056075078,1
97,5.576475678,5.576475678,1
97,6.630373698,6.630373698,1
97,9.714068762,9.714068762,1
98,6.159416941,6.159416941,1
98,5.411043313,5.411043313,1
100,6.520510677,6.520510677,1
100,6.990836801,6.990836801,1
101,11.816211,11.816211,1
101,8.211448701,8.211448701,1
101,4.535315891,4.535315891,1
101,7.835005886,7.835005886,1
101,4.430751819,4.430751819,1
101,4.963411483,4.963411483,1
102,7.694057566,7.694057566,1
102,4.745981857,4.745981857,1
102,7.69572368,7.69572368,1
102,7.549326324,7.549326324,1
102,4.728364255,4.728364255,1
103,6.665612187,6.665612187,1
103,9.498825411,9.498825411,1
103,8.49982441,8.49982441,1
103,6.365863837,6.365863837,1
103,5.177873171,5.177873171,1
103,5.716641424,5.716641424,1
103,9.060325524,9.060325524,1
104,6.329113288,6.329113288,1
104,4.89682049,4.89682049,1
104,7.316344776,7.316344776,1
104,6.981437348,6.981437348,1
104,8.885008705,8.885008705,1
104,10.28077875,10.28077875,1
105,6.719574309,6.719574309,1
105,4.633809296,4.633809296,1
105,5.795407985,5.795407985,1
106,9.052807834,9.052807834,1
106,5.794480844,5.794480844,1
106,7.203294298,7.203294298,1
106,10.47380181,10.47380181,1
106,10.41107549,10.41107549,1
107,9.767405437,9.767405437,1
107,7.815771589,7.815771589,1
107,5.463002223,5.463002223,1
107,9.106772463,9.106772463,1
108,4.98114518,4.98114518,1
108,12.72638343,12.72638343,1
109,5.312132779,5.312132779,1
109,6.489460831,6.489460831,1
111,5.718824032,5.718824032,1
111,7.597692706,7.597692706,1
112,7.389599476,7.389599476,1
112,8.823839869,8.823839869,1
113,8.309660649,8.309660649,1
113,6.794577532,6.794577532,1
113,3.912111492,3.912111492,1
114,10.83933064,10.83933064,1
