n,k,brute_force,CalinescuKarloffRabani,electrical_alg,ratio_BruteCKR,ratio_BruteElectrical,ratioCKRElectrical
65,13,,32.54926052446859,65.43263444457668,,,2.0102648536481595
26,7,,16.106261394812833,23.947682433857132,,,1.486855443782236
42,2,,2.293240669647151,8.349455996374179,,,3.6408982741697433
65,8,,16.30433481176601,36.88362731791264,,,2.262197614544544
39,3,,7.055299596119802,15.878088178921352,,,2.2505193383501125
81,5,,11.282525186858962,22.419288314214633,,,1.9870807237662484
67,8,,20.230668755565077,29.86332115565816,,,1.4761410765248835
34,7,,17.63241118382159,30.745342519821918,,,1.743683390733988
65,17,,40.39383969561497,66.91374747208637,,,1.6565334708537331
26,8,,17.261918707071903,49.018964183262405,,,2.8397170103216975
31,10,,22.025677429734145,29.68229479213554,,,1.3476223324720602
28,7,,18.589677915120163,29.453618977757156,,,1.5844071700564892
58,15,,33.20155046001288,54.58499850087596,,,1.6440496827585438
83,10,,28.617436391498316,68.19332204264578,,,2.3829291034225792
27,2,,1.3586858248301559,9.040574101157949,,,6.653910665689088
69,2,,2.623243569048413,8.922194932969393,,,3.4012072070783494
31,5,,8.222791031784586,36.46454166934155,,,4.43456990800211
20,3,,4.184150420286145,9.043455554421286,,,2.1613600482849806
84,2,,2.989162425899054,4.899367669938805,,,1.6390436422889318
95,2,,2.901582642136481,13.07719231830012,,,4.506917062569404
71,18,,34.67834034059276,75.06652359613456,,,2.164651562297097
50,10,,20.710537158567597,36.501745108786125,,,1.762472157497179
38,12,,31.669612742244837,49.63713951609066,,,1.567342800181403
74,5,,9.774540791420291,31.334521466337634,,,3.2057282418670603
52,7,,12.608570923075707,18.009661023057934,,,1.428366555808269
36,8,,17.560847567472347,29.559959181263473,,,1.6832877267277733
65,15,,35.105737330774325,58.139662934573046,,,1.6561299478420801
57,19,,41.70044333944578,93.82939017027027,,,2.2500813578045116
39,13,,22.53176915595093,39.84497729333347,,,1.768390977980968
27,3,,4.868018560855431,18.045329263219216,,,3.7069146383961624
69,17,,38.905115087728966,55.473685958364314,,,1.4258712725376625
26,7,,12.960043834012716,23.27521142151016,,,1.7959207329550861
52,6,,14.654012705499202,23.216913839548383,,,1.5843383178476287
84,5,,12.175951332875501,35.21076711667587,,,2.8918288316088736
88,2,,2.0808092287173814,5.854357338649962,,,2.8135002756877476
97,11,,24.564996080789722,43.427937788049945,,,1.7678788812024844
87,14,,34.39292240548117,59.25252874612494,,,1.7228116892062044
99,19,,34.0297988764789,68.01018921953874,,,1.9985480803575009
62,11,,25.774069871062103,42.764854570133636,,,1.6592200915132918
74,18,,41.46708242567874,59.44210693572543,,,1.4334769522853035
15,2,2.307744440393523,2.307744440393523,5.25644719931344,1.0,2.277742330263006,2.277742330263006
16,2,3.4995801154984743,3.4995801154984743,3.8387342188579665,1.0,1.0969127987261933,1.0969127987261933
35,4,,8.13298514144617,17.685686709465962,,,2.174562771464891
13,4,7.029181967987114,7.029181967987114,14.09320507334423,1.0,2.004956641829544,2.004956641829544
35,11,,22.742257789354827,24.917046478052683,,,1.0956276509061396
77,6,,12.338830407074397,29.47205218865557,,,2.3885612506480305
50,4,,6.220086130289464,18.17053367775535,,,2.921267213531294
11,2,2.6693200602888068,2.6693200602888068,10.172615023040429,1.0,3.810938663511113,3.810938663511113
26,2,,2.586622075190591,16.23944254954936,,,6.278243236732905
97,7,,14.171427352686656,24.62358979179746,,,1.7375518484473094
50,10,,21.353662992788948,31.89051337865984,,,1.4934446324000312
98,8,,15.10481645599851,38.15749533006949,,,2.526180668346762
59,10,,20.074720187936364,53.984291300137095,,,2.6891678088035436
75,10,,19.141340028098156,37.34770141003117,,,1.9511539607575719
50,10,,23.660334671707528,46.16984974484574,,,1.9513608064071284
31,5,,12.560658917994974,18.760631853903618,,,1.4936025232741794
67,9,,24.50148465753172,41.11689177593469,,,1.678138788348706
220,9,,23.0608106630799,69.38081932208348,,,3.008602790931431
85,4,,6.360150898430814,22.64470055757737,,,3.5604030343311988
30,4,,8.381645219663046,25.976455071553918,,,3.0992071831690113
37,3,,5.326747118500363,9.030980312580343,,,1.6954024870478235
80,9,,20.341137065778938,39.55736958897733,,,1.9446980501167246
92,12,,30.7376526912813,66.83791798227656,,,2.1744639596775412
44,2,,3.7765711452857333,14.015557665582556,,,3.7111859214086502
32,3,,6.471067850694278,16.4221819732228,,,2.5377854709807854
32,4,,6.7325135089984895,18.518801173104187,,,2.750651914526792
89,15,,32.66306325652461,65.84526712087235,,,2.015893812645372
49,11,,19.572414468465844,32.805714187764174,,,1.6761199411865717
45,7,,15.355270765473099,21.07571582874305,,,1.372539511066948
27,2,,3.7699799947036863,6.528813634897737,,,1.7317899946604065
93,9,,18.23250625098963,45.18618627505291,,,2.478331045278006
73,9,,18.548698152274206,38.649145723772165,,,2.083658130963412
68,18,,43.81169351760229,66.71897687193398,,,1.5228577467595081
11,3,4.497604146363599,4.497604146363599,10.965164761541798,1.0,2.4380013012944564,2.4380013012944564
41,3,,6.0714345254997095,13.077860377550783,,,2.153998420410275
50,14,,29.60566506500271,49.26004133209204,,,1.6638721414950766
53,15,,38.514060329215795,65.23817649577563,,,1.6938794803280608
27,6,,14.440430223266498,16.9178030606616,,,1.1715581045087942
65,18,,38.21733984112619,64.98850880280007,,,1.7004979695856557
76,18,,41.019048740549536,72.05071932734693,,,1.756518533208229
28,5,,10.793218003134953,13.340307299970926,,,1.235989794340868
76,2,,2.431801493406142,7.7723886609127435,,,3.196144373620818
95,8,,20.814812442173302,62.73275707107541,,,3.0138516619045452
41,6,,12.541124582521645,33.68969519641972,,,2.686337654549137
29,3,,6.415356874088517,10.983626395709535,,,1.7120834602471076
96,13,,29.507740911518468,59.81471061694981,,,2.027085394178749
83,16,,33.45450786944884,65.49554848590816,,,1.95774957268822
73,18,,33.22984824657494,40.55701807875444,,,1.220499647720622
22,3,,7.894971209526206,4.723814670603532,,,0.5983320958667584
